Feather,Grade,DistanceFromRachis,Length,VaneToEdge,Position,Edge,Habitat
391,light,2.12,2.69,7.89,Distal,Leading,rural
391,light,2.34,3.45,7.79,Distal,Leading,rural
391,light,2.23,2.4,7.82,Distal,Leading,rural
391,light,4.68,5.16,1.94,Distal,Leading,rural
391,light,1.03,3.34,23.48,Distal,Trailing,rural
391,light,2.88,9.79,15.39,Distal,Trailing,rural
391,light,0,5.98,20.39,Distal,Trailing,rural
391,light,0,7.22,18.76,Distal,Trailing,rural
391,light,13.34,9.89,0,Distal,Trailing,rural
391,light,12.06,8.38,0,Distal,Trailing,rural
396a,medium,5.31,6.61,1.51,Basal,Leading,urban
396a,light,4.85,7.75,0.39,Basal,Leading,urban
396a,medium,8.18,5.53,0,Basal,Leading,urban
396a,medium,4.84,6.89,0.61,Middle,Leading,urban
396a,light,10.36,2.81,0.83,Distal,Leading,urban
396a,medium,4.04,10.59,0,Basal,Trailing,urban
396a,medium,1.37,13.25,0,Basal,Trailing,urban
396a,medium,9.16,3.5,3.8,Middle,Trailing,urban
396a,medium,10.21,2.89,2.75,Middle,Trailing,urban
396a,light,17.64,2.97,3.51,Distal,Trailing,urban
396a,light,13.83,5.69,6.5,Distal,Trailing,urban
396a,light,15.44,2.89,7.8,Distal,Trailing,urban
396b,medium,13.53,2.14,0,Distal,Leading,urban
396b,medium,15.87,2.55,1.82,Middle,Trailing,urban
396b,light,10.89,6.61,7.26,Middle,Trailing,urban
396b,light,16.52,4.52,4.39,Middle,Trailing,urban
396b,light,1.97,18.04,6.21,Middle,Trailing,urban
396b,light,13.5,7.51,7.78,Distal,Trailing,urban
396b,light,12.56,6.44,10.95,Distal,Trailing,urban
396b,medium,19.53,3.39,4.26,Distal,Trailing,urban
398,medium,0,2.63,8.89,Middle,Leading,rural
398,light,8.54,2.54,2.06,Middle,Leading,rural
398,light,4.49,8.68,0,Distal,Leading,rural
398,medium,0,2.17,16.19,Basal,Trailing,rural
399,light,4.77,4.28,17.66,Middle,Trailing,urban
399,light,10.05,7.75,9.31,Middle,Trailing,urban
399,light,0,6.4,12.91,Distal,Trailing,urban
400,light,0,3.18,23.6,Middle,Trailing,rural
400,light,0,3.34,21.96,Middle,Trailing,rural
400,light,0,4.46,17.83,Distal,Trailing,rural
400,light,0,2.28,16.96,Distal,Trailing,rural
401a,light,3.05,5.65,0,Basal,Leading,urban
401a,light,9.5,3.37,0,Basal,Leading,urban
401a,medium,8.75,7.36,0,Basal,Leading,urban
401a,medium,5.11,4.47,5.66,Middle,Leading,urban
401a,medium,3.41,2.09,9.75,Middle,Leading,urban
401a,medium,2.97,13.97,0,Distal,Leading,urban
401a,medium,6.56,7.06,2.56,Distal,Leading,urban
401a,medium,0.87,9.54,5.95,Distal,Leading,urban
401a,light,4.85,7.46,0,Distal,Leading,urban
401a,medium,0,24.94,1.36,Basal,Trailing,urban
401a,light,13.3,3.81,9.39,Basal,Trailing,urban
401a,light,4.6,2.26,19.87,Middle,Trailing,urban
401a,light,15.53,4.73,6.29,Middle,Trailing,urban
401a,light,5.26,15.92,6.11,Middle,Trailing,urban
401a,medium,0,22.58,1.8,Distal,Trailing,urban
401a,light,0,15.31,0,Distal,Trailing,urban
401a,light,4.88,8.48,0,Distal,Trailing,urban
401b,medium,10.06,3.18,0,Middle,Leading,rural
401b,light,10.36,1.88,1.7,Middle,Leading,rural
401b,medium,9.94,5.7,4.56,Basal,Trailing,rural
401b,medium,2.08,1.47,17.4,Basal,Trailing,rural
401b,light,10.4,4.03,9.33,Middle,Trailing,rural
401b,medium,8.56,3.38,14.01,Middle,Trailing,rural
401b,medium,19.32,4.03,3.16,Distal,Trailing,rural
401b,strong,10.64,1.91,8.83,Distal,Trailing,rural
401c,medium,0,4.12,2.22,Basal,Leading,rural
401c,medium,10.06,2.45,0,Basal,Leading,rural
401c,medium,3.04,1.59,7.76,Basal,Leading,rural
401c,medium,0,9.2,3.18,Middle,Leading,rural
401c,medium,0,3.27,10.26,Distal,Leading,rural
401c,light,0,7.45,10.43,Middle,Trailing,rural
403,light,7.18,1.69,4.21,Distal,Leading,urban
403,light,3.23,2.95,7.06,Distal,Leading,urban
403,light,7.77,2.09,3.06,Distal,Leading,urban
403,light,3.88,2.96,5.82,Distal,Leading,urban
403,light,1.22,7.94,4.25,Distal,Leading,urban
403,light,6.68,2.71,2.47,Distal,Leading,urban
403,light,1.98,3.83,5.07,Distal,Leading,urban
404,light,11.9,0.89,0,Basal,Leading,urban
404,light,10.11,2.21,0,Middle,Leading,urban
404,light,10.29,1.69,0.45,Middle,Leading,urban
404,medium,1.21,2.2,8.9,Middle,Leading,urban
404,light,1.64,4.03,12.42,Basal,Trailing,urban
404,light,0,2.7,16.25,Basal,Trailing,urban
404,light,1.44,1.67,16.6,Basal,Trailing,urban
404,light,0,1.75,20.33,Basal,Trailing,urban
404,medium,0,2.37,20.74,Middle,Trailing,urban
404,medium,0,1.63,24.47,Middle,Trailing,urban
405,medium,15.5,3.16,7.42,Basal,Trailing,rural
406a,medium,9.94,2.32,0.83,Middle,Leading,rural
406b,light,7.1,3.55,2.72,Middle,Leading,rural
406b,light,8.46,5.49,0,Middle,Leading,rural
406b,light,1.46,2.14,10.72,Middle,Leading,rural
406b,light,4.85,10.2,0,Middle,Leading,rural
406b,light,13.34,6.42,0,Middle,Trailing,rural
406b,light,12.85,3.95,2.71,Middle,Trailing,rural
406b,light,10.57,9.67,0,Middle,Trailing,rural
406b,light,15.08,6.96,0,Middle,Trailing,rural
406b,light,18.43,2.6,1.62,Distal,Trailing,rural
406e,medium,0,1.88,25.14,Middle,Trailing,rural
407,NA,NA,NA,NA,NA,NA,rural
408,NA,NA,NA,NA,NA,NA,rural
409,light,9.81,5.58,0,Basal,Leading,urban
409,light,13.71,2.38,0,Basal,Leading,urban
409,light,2.42,1.35,10.54,Distal,Leading,urban
409,light,0,6.25,8.35,Distal,Leading,urban
409,light,10.16,5.94,1.94,Basal,Trailing,urban
409,light,10.56,8.99,0,Basal,Trailing,urban
409,light,9.6,6.09,0,Basal,Trailing,urban
409,light,6.01,8.47,5.19,Basal,Trailing,urban
409,light,5.58,12.91,0,Middle,Trailing,urban
409,light,5.86,9.93,0,Middle,Trailing,urban
409,light,12.85,6.27,0,Middle,Trailing,urban
410,medium,0,3.79,10.29,Middle,Leading,urban
410,medium,12.12,1.04,0.75,Middle,Leading,urban
410,medium,0,1.36,12.14,Middle,Leading,urban
410,light,13.39,1.26,0,Basal,Leading,urban
410,light,0,1.01,13.09,Basal,Leading,urban
410,medium,10.92,2.29,6.11,Basal,Trailing,urban
410,light,14.62,2.39,1.75,Basal,Trailing,urban
410,light,4.52,11.6,4.65,Basal,Trailing,urban
413b,light,0.51,10.06,5.57,Basal,Leading,urban
413b,medium,1.83,13.18,4.72,Basal,Leading,urban
413b,light,0,4.96,8.4,Basal,Trailing,urban
413b,light,1.17,3.58,9.77,Basal,Trailing,urban
413b,strong,9.19,4.47,0,Basal,Trailing,urban
418a,NA,NA,NA,NA,NA,NA,urban
418b,light,0,12.61,0,Distal,Leading,urban
418b,light,5.79,7.31,0,Distal,Leading,urban
426a,light,3.37,7.64,2.36,Basal,Leading,urban
426a,light,0,1.93,11.03,Basal,Leading,urban
426a,light,0,1.57,11.76,Middle,Leading,urban
426a,medium,0,5.18,8.7,Middle,Leading,urban
426a,strong,1.77,12.44,0,Middle,Leading,urban
426a,medium,1.81,10.78,0,Middle,Leading,urban
426a,light,8.06,5.95,0,Distal,Leading,urban
426a,light,1.58,11.5,0,Distal,Leading,urban
426a,light,6.51,7.41,0,Distal,Leading,urban
426a,strong,3.34,7.35,0.96,Distal,Leading,urban
426a,medium,3.6,1.84,11.68,Middle,Trailing,urban
426a,medium,1.71,3.77,11.18,Middle,Trailing,urban
426a,light,8.11,8.52,0,Middle,Trailing,urban
426a,medium,1.97,14.97,0,Middle,Trailing,urban
426a,light,3.21,12.57,0,Middle,Trailing,urban
426a,light,6.76,8.41,1.46,Middle,Trailing,urban
426a,light,6.75,7.82,1.94,Middle,Trailing,urban
426a,light,1.68,6.46,10.67,Distal,Trailing,urban
426a,light,6.76,8.14,2.89,Distal,Trailing,urban
426a,light,2.33,14.86,0.94,Distal,Trailing,urban
426a,light,3.89,11.73,3.45,Distal,Trailing,urban
426a,medium,0.49,17.36,0,Distal,Trailing,urban
426a,light,5.29,10.19,1.13,Distal,Trailing,urban
426a,light,7.98,9.04,0,Distal,Trailing,urban
426a,light,7.82,7.94,0,Distal,Trailing,urban
426a,light,8.01,9.05,0,Distal,Trailing,urban
426a,medium,0.83,15.86,0,Distal,Trailing,urban
426a,light,6.15,10.75,0,Distal,Trailing,urban
426a,medium,0.77,13.72,0,Distal,Trailing,urban
435,medium,12.46,16.7,0,Middle,Trailing,rural
436,medium,4.4,4.05,17.38,Distal,Trailing,urban
436,strong,0,7.95,8.02,Distal,Trailing,urban
439,light,1.84,10.45,0,Basal,Leading,urban
439,light,2.01,9.15,0,Basal,Leading,urban
439,light,5.1,11.34,0,Basal,Trailing,urban
439,strong,6.7,6.28,2.74,Basal,Trailing,urban
439,light,6.24,5.2,6.24,Basal,Trailing,urban
441,medium,0,6.2,2.99,Basal,Trailing,urban
441,medium,0,14.06,5.6,Basal,Trailing,urban
441,light,11.47,16.41,0,Distal,Trailing,urban
441,light,10.41,4.83,13.57,Distal,Trailing,urban
441,light,0,5.81,0,Distal,Leading,urban
444a,light,7.37,5.29,0,Basal,Leading,urban
444a,light,1.86,4.77,8.26,Basal,Leading,urban
444b,light,3.85,8.19,0,Basal,Leading,urban
444b,light,19.53,5.63,0,Middle,Trailing,urban
444b,light,17.82,6.15,0,Basal,Trailing,urban
444b,light,17.49,2.55,0,Basal,Trailing,urban
444b,light,16.81,3.01,0,Basal,Trailing,urban
444b,light,13.84,3.63,0,Basal,Trailing,urban
444c,NA,NA,NA,NA,NA,NA,urban
445b,NA,NA,NA,NA,NA,NA,urban
446a,light,5.42,3.33,0,Basal,Leading,urban
446a,light,7.31,3.86,0,Basal,Leading,urban
446a,light,6.95,3.18,1.91,Distal,Leading,urban
446a,medium,4.77,9.75,0,Distal,Leading,urban
446a,strong,0,26.31,0,Distal,Trailing,urban
448,light,0,15.66,0,Middle,Leading,rural
448,light,2.95,13.85,0,Middle,Leading,rural
449b,light,0,4.98,7.56,Middle,Leading,urban
453,light,0,31.35,0,Distal,Trailing,urban
453,light,3.52,10.22,3.74,Distal,Trailing,urban
455,light,,15.91,,Distal,Trailing,urban
455,light,,6.58,,Distal,Trailing,urban
455,medium,,11.5,,Distal,Trailing,urban
461b,light,0,2.94,20.27,Distal,Trailing,urban
461b,light,3.98,8.86,9.71,Distal,Trailing,urban
461b,light,0,5.28,12.69,Distal,Trailing,urban
464,light,11.33,2.72,0.43,Distal,Leading,urban
464,light,11.24,2.89,1.74,Distal,Leading,urban
464,light,3.08,4.61,5.92,Basal,Trailing,urban
467a,medium,1.08,6.01,0.83,Basal,Leading,urban
467a,light,3.71,3.24,0.9,Middle,Leading,urban
467a,light,4.29,3.32,0,Middle,Leading,urban
467c,medium,0,11.23,0,Basal,Leading,urban
467c,light,0,8.27,6.49,Middle,Leading,urban
467c,light,9.73,3.72,0,Middle,Leading,urban
467c,medium,0,4.74,9.27,Distal,Leading,urban
467c,light,0,5.04,7.25,Distal,Leading,urban
467c,light,0,6.86,4.66,Distal,Leading,urban
467c,medium,3.56,21.46,0,Basal,Trailing,urban
467c,light,5.19,19.5,0,Middle,Trailing,urban
467c,light,0,25.55,0,Middle,Trailing,urban
467c,medium,0,4.65,18.38,Distal,Trailing,urban
467c,medium,0,8.36,8.72,Distal,Trailing,urban
467c,medium,5.04,2.26,7.4,Distal,Trailing,urban
468,NA,NA,NA,NA,NA,NA,urban
470,NA,NA,NA,NA,NA,NA,urban
471,strong,0,15.35,0,Basal,Trailing,NA
471,medium,2.35,22.59,0,Middle,Trailing,NA
471,medium,0,2.82,0,Middle,Leading,NA
473c,light,0,7.98,1.24,Distal,Trailing,rural
473c,light,3.89,3.67,0.77,Distal,Trailing,rural
473c,medium,0,23.53,0,Middle,Trailing,rural
473i,medium,10.75,8.83,1.18,Distal,Trailing,rural
473l,light,11.67,1.33,0,Middle,Leading,rural
473l,light,4.8,7.89,1.22,Distal,Leading,rural
473l,light,12.19,3.71,"3,74",Distal,Trailing,rural
477,medium,0.76,3.6,7.86,Basal,Leading,urban
477,medium,2.63,7.6,0.5,Middle,Leading,urban
477,light,9.41,1.81,0,Middle,Leading,urban
477,light,3.66,3.25,12.86,Basal,Trailing,urban
477,light,9.41,11.41,0,Basal,Trailing,urban
477,light,14.54,7.73,2.54,Middle,Trailing,urban
477,light,4.73,14.01,5.48,Middle,Trailing,urban
477,light,6.89,14.24,9.99,Middle,Trailing,urban
477,medium,13.64,5.22,10.68,Distal,Trailing,urban
477,medium,22.53,3.76,3.37,Distal,Trailing,urban
477,medium,24.95,2.54,1.16,Distal,Trailing,urban
477,light,2.19,2.57,23.09,Distal,Trailing,urban
477,medium,9.77,4.67,15.04,Distal,Trailing,urban
477,medium,17.36,3.38,8.78,Distal,Trailing,urban
477,light,27.06,1.98,0,Distal,Trailing,urban
478,light,6.31,3.84,1.75,Basal,Leading,urban
478,medium,5.97,10.13,0.69,Middle,Leading,urban
478,medium,7.76,4.45,2.11,Middle,Leading,urban
478,light,10.12,3.68,0.98,Distal,Leading,urban
478,light,10.27,2.24,1.11,Distal,Leading,urban
478,light,0.94,7.11,2.45,Basal,Trailing,urban
478,light,8.2,4.91,6.83,Middle,Trailing,urban
478,light,4.76,17.34,2.61,Middle,Trailing,urban
478,light,0,23.73,0,Distal,Trailing,urban
479,light,6.99,7.36,0,Middle,Leading,urban
479,light,11.87,1.44,0,Middle,Leading,urban
479,medium,2.51,12.05,0,Distal,Leading,urban
479,light,16.22,3.1,1.6,Middle,Trailing,urban
479,medium,4.99,18.61,0.93,Distal,Trailing,urban
505,medium,13.18,2.96,5.62,Middle,Trailing,rural
506,NA,NA,NA,NA,NA,NA,urban
525,NA,NA,NA,NA,NA,NA,urban
529,NA,NA,NA,NA,NA,NA,urban
532a,strong,0,7.45,11.31,Basal,Trailing,urban
532a,medium,0,2.68,13.45,Middle,Trailing,urban
532a,light,0,1.76,17.69,Distal,Trailing,urban
532a,strong,NA,NA,NA,NA,NA,urban
532b,light,0,8.24,0,Basal,Trailing,urban
532b,medium,0,10.92,2.89,Basal,Trailing,urban
532b,medium,0,2.89,14.07,Distal,Trailing,urban
532b,light,0,3.88,0,Basal,Leading,urban
532b,light,0,1.64,0,Distal,Leading,urban
533,light,9.19,10.87,9.38,Distal,Trailing,urban
533,light,9.52,16.97,10.24,Distal,Trailing,urban
533,light,6.6,16.59,8.15,Distal,Trailing,urban
533,light,7.72,16.29,5.7,Distal,Trailing,urban
533,light,7.18,22.16,0,Distal,Trailing,urban
533,light,5.46,20.33,5,Distal,Trailing,urban
533,light,8.35,10.62,7.42,Distal,Trailing,urban
533,light,6.51,12.53,2.94,Distal,Trailing,urban
535,NA,NA,NA,NA,NA,NA,rural
536,medium,5.98,6.38,2.03,Distal,Leading,urban
538a,medium,0,6.59,1.06,Basal,Leading,rural
538a,medium,0,18.06,0,Basal,Leading,rural
538a,medium,2.51,2.47,11.47,Middle,Leading,rural
538a,light,4.54,11.42,1.77,Middle,Leading,rural
538a,light,7.92,7.27,0,Middle,Leading,rural
538a,strong,0,15.49,0,Middle,Leading,rural
538a,medium,4.73,4.77,5.04,Middle,Leading,rural
538a,medium,7.69,5.8,0.88,Middle,Leading,rural
538a,light,9.94,5.13,0.92,Middle,Leading,rural
538a,light,8.9,4.02,1.31,Middle,Leading,rural
538a,medium,9.35,6.42,0,Distal,Leading,rural
538a,light,10.82,1.77,0,Distal,Leading,rural
538a,medium,0,12.68,0,Distal,Leading,rural
538a,medium,0,2.72,12.06,Basal,Trailing,rural
538a,light,5.49,6.95,3.62,Basal,Trailing,rural
538a,light,2.13,8.71,2.45,Middle,Trailing,rural
538a,light,1.82,14.98,0,Middle,Trailing,rural
538a,light,6.96,8.95,0,Middle,Trailing,rural
538a,light,7.64,8.61,0,Middle,Trailing,rural
538a,medium,2.71,15.09,0,Middle,Trailing,rural
538a,medium,6.88,10.34,0,Middle,Trailing,rural
538a,light,5.51,12.35,0,Middle,Trailing,rural
538a,light,4.32,13.83,0,Middle,Trailing,rural
538a,light,7.29,10.33,0,Middle,Trailing,rural
538a,medium,9.23,7.11,2.39,Middle,Trailing,rural
538a,light,14.09,2.97,0,Middle,Trailing,rural
538a,light,12.08,2.85,2.33,Middle,Trailing,rural
538a,medium,2.25,14.6,0,Distal,Trailing,rural
538a,medium,1.74,17.57,0,Distal,Trailing,rural
538a,medium,0,18.37,0,Distal,Trailing,rural
538a,light,9.53,5.27,1.46,Distal,Trailing,rural
538b,medium,0,2.72,13.57,Basal,Leading,rural
538b,light,4.35,9.07,4.7,Basal,Leading,rural
538b,light,5.86,4.73,5.82,Basal,Leading,rural
538b,light,9.23,4.77,0.95,Basal,Leading,rural
538b,light,0,4.49,11.81,Basal,Leading,rural
538b,light,2.74,6.53,7.14,Basal,Leading,rural
538b,light,8.56,5.42,1.93,Basal,Leading,rural
538b,light,11.62,2.99,0.68,Basal,Leading,rural
538b,strong,0,12.49,0,Middle,Leading,rural
538b,medium,4.35,6.91,0,Middle,Leading,rural
538b,medium,4.1,9.18,0,Middle,Leading,rural
538b,light,4.43,7.47,0.81,Middle,Leading,rural
538b,light,6.86,5.09,0.54,Middle,Leading,rural
538b,light,8.84,3.25,0.45,Middle,Leading,rural
538b,light,5.91,4.56,1.36,Middle,Leading,rural
538b,medium,2.38,7.65,0,Distal,Leading,rural
538b,medium,7.26,4.58,0,Distal,Leading,rural
538b,medium,2.49,9.58,0,Distal,Leading,rural
538b,light,9.31,4.15,0,Distal,Leading,rural
538b,medium,3.54,8.04,0,Distal,Leading,rural
538b,strong,4.31,12.43,0,Middle,Trailing,rural
538b,medium,1.62,1.92,8.18,Distal,Trailing,rural
538b,medium,5.22,1.85,5.56,Distal,Trailing,rural
538b,medium,0,14.7,0,Distal,Trailing,rural
538b,medium,4.25,15.13,0,Distal,Trailing,rural
538b,light,4.31,12.08,3.18,Distal,Trailing,rural
538b,light,5.07,3.74,9.11,Distal,Trailing,rural
538b,medium,3.64,9.36,3.93,Distal,Trailing,rural
539,medium,1.74,5.36,5.87,Basal,Leading,urban
539,light,2.49,11.58,0,Basal,Leading,urban
539,light,6.97,11.77,0,Basal,Leading,urban
539,medium,0,9.43,10.06,Middle,Leading,urban
539,medium,7.19,8.69,3.61,Middle,Leading,urban
539,light,1.54,10.8,1.04,Basal,Trailing,urban
539,light,4.77,9.94,0,Basal,Trailing,urban
539,medium,0,7.16,8.53,Middle,Trailing,urban
541a,light,NA,NA,NA,NA,NA,urban
541c,light,0,25.27,0,Basal,Trailing,urban
541c,light,21.46,8.74,0,Basal,Trailing,urban
541c,light,0,4.33,20.17,Middle,Trailing,urban
541c,strong,8.55,3.08,0,Basal,Leading,urban
541c,light,0,3.09,13.09,Basal,Leading,urban
541c,light,0,6.82,9.8,Basal,Leading,urban
541c,light,0,5.46,13.17,Middle,Leading,urban
541c,medium,0,8.22,9.43,Middle,Leading,urban
541c,light,0,12.04,3.92,Distal,Leading,urban
541c,light,3.69,8.39,0,Distal,Leading,urban
541c,light,4.4,7.67,0,Distal,Leading,urban
543a,medium,0,4.74,7.1,Basal,Trailing,urban
543a,medium,0,2.74,10.58,Basal,Leading,urban
545,strong,0,17.55,8.39,Distal,Trailing,urban
545,strong,2.04,5.81,1.68,Distal,Leading,urban
546,NA,NA,NA,NA,NA,NA,urban
547,NA,NA,NA,NA,NA,NA,urban
548,light,0,2.96,2.6,Basal,Leading,urban
548,light,0,3.16,5.22,Basal,Leading,urban
548,medium,0,3.32,8.37,Basal,Leading,urban
548,medium,0,1.78,8.87,Middle,Leading,urban
548,light,0,1.58,8.45,Middle,Leading,urban
548,medium,0,5.18,5.46,Middle,Leading,urban
548,light,0,1.2,7.86,Middle,Leading,urban
548,medium,0,1.05,15.09,Middle,Trailing,urban
548,light,0,18.24,5.28,Distal,Trailing,urban
552,strong,7.44,18.82,0,Distal,Trailing,urban
553,light,4.28,4.91,10.54,Basal,Trailing,urban
555,NA,NA,NA,NA,NA,NA,urban
556,medium,0,14.39,0,Middle,Leading,rural
557,NA,NA,NA,NA,NA,NA,rural
558,light,0,1.31,15.58,Distal,Trailing,rural
561,light,4.31,8.56,10.32,Basal,Trailing,rural
564,light,0,8.93,8.04,Distal,Trailing,rural
567,light,0,1.11,12.04,Distal,Leading,urban
567,light,0,7.22,6.55,Distal,Leading,urban
567,strong,0,12.73,0,Distal,Leading,urban
567,light,0,4.06,17.97,Distal,Trailing,urban
567,light,0,6.81,14.95,Distal,Trailing,urban
567,strong,0,8.26,11.94,Distal,Trailing,urban
568,NA,NA,NA,NA,NA,NA,urban
569,medium,2.25,2.59,15.2,Basal,Trailing,urban
569,medium,10.65,21.74,0,Distal,Trailing,urban
570,NA,NA,NA,NA,NA,NA,urban
571,NA,NA,NA,NA,NA,NA,urban
573,NA,NA,NA,NA,NA,NA,rural
574,NA,NA,NA,NA,NA,NA,rural
575b,light,5.79,15.95,0,Middle,Leading,urban
575b,light,5.71,24.4,0,Middle,Trailing,urban
575b,light,0,9.62,,Distal,Trailing,urban
576,strong,6.77,4.2,0,Basal,Leading,urban
576,medium,17.34,3.11,4.75,Middle,Trailing,urban
578b,NA,NA,NA,NA,NA,NA,urban
579,strong,4.65,1.64,0,Middle,Leading,urban
582,light,0,2.19,18.07,Distal,Trailing,rural
582,light,0,4.97,5.43,Distal,Leading,rural
584,NA,NA,NA,NA,NA,NA,urban
587b,NA,NA,NA,NA,NA,NA,urban
589,NA,NA,NA,NA,NA,NA,rural
590,light,2.69,4.4,3.85,Basal,Leading,rural
590,medium,13.29,3.49,0,Basal,Trailing,rural
591,light,12.4,11.35,0,Distal,Trailing,rural
591,light,10.93,6.62,4.1,Distal,Trailing,rural
591,medium,1.58,2.72,3.65,Basal,Leading,rural
593,NA,NA,NA,NA,NA,NA,urban
592,light,0,2.93,12.38,Distal,Leading,urban
595,strong,4.78,7.04,0,Middle,Leading,urban
595,strong,8.33,2.9,2.96,Distal,Leading,urban
597,light,5.35,2.62,0,Middle,Leading,urban
597,light,5.55,3.68,0,Middle,Leading,urban
600,medium,0,13.11,6.51,Basal,Trailing,rural
600,medium,0,11.55,6.77,Basal,Trailing,rural
600,strong,0,4.44,0,Basal,Leading,rural
601,light,1.74,7.98,17.14,Distal,Trailing,urban
601,light,0,13.87,10.52,Distal,Trailing,urban
601,light,0,5.66,8.76,Distal,Leading,urban
601,light,0,7.67,3.82,Distal,Leading,urban
603,strong,4.47,12.32,0,Middle,Leading,rural
603,medium,0,3.15,12.22,Middle,Leading,rural
603,strong,6.36,10.99,0,Middle,Leading,rural
603,light,10.06,5.81,0,Middle,Leading,rural
603,light,16.14,3.15,0,Basal,Trailing,rural
603,light,11.74,4.71,3.62,Basal,Trailing,rural
603,light,14.59,4.69,0,Basal,Trailing,rural
603,strong,13.17,9.84,0,Middle,Trailing,rural
603,light,10.97,6.91,0,Middle,Trailing,rural
604,NA,NA,NA,NA,NA,NA,urban
605,NA,4,16,0,Basal,Leading,urban
605,NA,6,17,0,Basal,Leading,urban
605,NA,4,19,0,Middle,Leading,urban
605,NA,6,17,0,Middle,Leading,urban
605,NA,17,4,0,Middle,Leading,urban
605,NA,13,9,0,Middle,Trailing,urban
605,NA,11,11,0,Basal,Trailing,urban
605,NA,12,7,0,Basal,Trailing,urban
605,NA,9,10,0,Basal,Trailing,urban
605,NA,8,10,0,Basal,Trailing,urban
606,NA,NA,NA,NA,NA,NA,urban
607,light,16.95,7.36,0,Middle,Trailing,urban
607,light,5.43,16.51,0,Distal,Trailing,urban
609,NA,NA,NA,NA,NA,NA,rural
611b,NA,NA,NA,NA,NA,NA,urban
611c,strong,0,12.89,14.87,Middle,Trailing,urban
611c,strong,0,8.95,20.03,Middle,Trailing,urban
611c,medium,0,23.8,6.1,Distal,Trailing,urban
614,light,0,1.25,10.16,Basal,Leading,urban
651b,light,7.6,1.98,0,Middle,Leading,urban
651b,light,0,9.38,0,Middle,Leading,urban
651b,medium,4.45,2.06,3.03,Middle,Leading,urban
651b,light,4.7,3.37,4.01,Distal,Leading,urban
651b,light,0,11.72,0,Distal,Leading,urban
651b,light,0,7.12,16.12,Basal,Trailing,urban
651b,medium,0,20.37,0,Middle,Trailing,urban
651b,medium,10.85,12.02,0,Middle,Trailing,urban
